date,year,month,county,mean_rainfall_mm,source_file
2019-01-01,2019,1,Baringo,7.184619,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Embu,14.658785,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Garissa,4.2588215,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Isiolo,4.558505,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Kajiado,8.523644,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Kilifi,13.76618,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Kitui,9.86318,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Kwale,11.345544,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Laikipia,14.985881,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Lamu,6.7746863,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Makueni,4.154815,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Mandera,0.7523778,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Marsabit,3.8047903,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Meru,19.827806,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Narok,13.918582,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Nyeri,28.069643,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Samburu,6.780695,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Taita Taveta,14.228221,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Tana River,7.5361395,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Tharaka Nithi,11.656526,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Turkana,1.3992056,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,Wajir,2.5143135,chirps-v2.0.2019.01.tif
2019-01-01,2019,1,West Pokot,3.4197254,chirps-v2.0.2019.01.tif
2019-02-01,2019,2,Baringo,4.4092903,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Embu,8.075307,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Garissa,3.3260612,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Isiolo,3.2640584,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Kajiado,9.597023,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Kilifi,2.9940372,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Kitui,7.6854115,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Kwale,7.3688207,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Laikipia,8.260603,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Lamu,1.9278057,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Makueni,5.047375,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Mandera,1.7239759,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Marsabit,4.9953074,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Meru,14.503452,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Narok,14.320092,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Nyeri,15.2943735,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Samburu,5.280775,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Taita Taveta,11.513758,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Tana River,3.9497359,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Tharaka Nithi,9.484328,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Turkana,4.002863,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,Wajir,3.0796034,chirps-v2.0.2019.02.tif
2019-02-01,2019,2,West Pokot,5.6758857,chirps-v2.0.2019.02.tif
