county,avg_phase_3_plus_percentage,avg_6_month_rainfall,phase4_count,risk_category
Turkana,0.30297857142857143,84.36293825932911,13,High Risk
Mandera,0.2928571428571428,97.54727855324745,13,High Risk
Marsabit,0.2919785714285714,111.17231772627149,11,High Risk
Wajir,0.25,133.41418892145157,12,High Risk
Garissa,0.24285714285714285,110.10707781996045,9,High Risk
Isiolo,0.23214285714285715,72.91328609309026,9,High Risk
Tana River,0.23214285714285715,115.54450659240995,8,High Risk
Samburu,0.22142857142857145,136.66840749127525,9,High Risk
Baringo,0.16428571428571428,234.55910779748643,6,Medium Risk
Kwale,0.1142857142857143,263.62185404981886,2,Medium Risk
Meru,0.1142857142857143,273.0635493142264,1,Medium Risk
Makueni,0.11071428571428572,127.90595309223447,1,Medium Risk
Lamu,0.11071428571428572,168.16283798217773,1,Medium Risk
Kitui,0.11071428571428572,204.538999412741,3,Medium Risk
Kilifi,0.09285714285714286,242.96841355732508,1,Lower Risk
Tharaka Nithi,0.08214285714285716,224.75722116231918,0,Lower Risk
Laikipia,0.08214285714285716,218.52431980201177,1,Lower Risk
Taita Taveta,0.06071428571428572,195.4926073040281,0,Lower Risk
Embu,0.05714285714285715,232.6488071680069,1,Lower Risk
Kajiado,0.05714285714285715,156.23088401556015,0,Lower Risk
Nyeri,0.05714285714285715,364.3762001650674,0,Lower Risk
West Pokot,0.05,206.96285428319658,0,Lower Risk
Narok,0.03571428571428571,304.4255316938673,0,Lower Risk
