date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage
2019-07-01,Jul 2019,Baringo,4,105555,703697,0.15
2019-07-01,Jul 2019,Embu,3,32883,219220,0.15
2019-07-01,Jul 2019,Garissa,4,151183,431950,0.35
2019-07-01,Jul 2019,Isiolo,4,54413,155465,0.35
2019-07-01,Jul 2019,Kajiado,3,43536,870721,0.05
2019-07-01,Jul 2019,Kilifi,3,209996,1399975,0.15
2019-07-01,Jul 2019,Kitui,3,219537,1097687,0.2
2019-07-01,Jul 2019,Kwale,3,123030,820199,0.15
2019-07-01,Jul 2019,Laikipia,3,50571,505712,0.1
2019-07-01,Jul 2019,Lamu,3,25629,128144,0.2
2019-07-01,Jul 2019,Makueni,3,191804,959022,0.2
2019-07-01,Jul 2019,Mandera,4,248891,711117,0.35
2019-07-01,Jul 2019,Marsabit,4,110578,315936,0.35
2019-07-01,Jul 2019,Meru,3,155196,775982,0.2
2019-07-01,Jul 2019,Narok,2,0,1077719,0.0
2019-07-01,Jul 2019,Nyeri,3,8791,175812,0.05
2019-07-01,Jul 2019,Samburu,3,70945,283780,0.25
2019-07-01,Jul 2019,Taita Taveta,3,35817,358173,0.1
2019-07-01,Jul 2019,Tana River,4,90914,303047,0.3
2019-07-01,Jul 2019,Tharaka Nithi,3,79223,396115,0.2
2019-07-01,Jul 2019,Turkana,4,379278,1083653,0.35
2019-07-01,Jul 2019,Wajir,4,114725,458900,0.25
2019-07-01,Jul 2019,West Pokot,3,64942,649418,0.1
2020-02-01,Feb 2020,Baringo,3,33339,666783,0.05
2020-02-01,Feb 2020,Embu,2,0,272357,0.0
2020-02-01,Feb 2020,Garissa,3,84135,841353,0.1
2020-02-01,Feb 2020,Isiolo,4,40200,268002,0.15
2020-02-01,Feb 2020,Kajiado,3,55892,1117840,0.05
2020-02-01,Feb 2020,Kilifi,4,218068,1453787,0.15
2020-02-01,Feb 2020,Kitui,3,56809,1136187,0.05
2020-02-01,Feb 2020,Kwale,4,130023,866820,0.15
2020-02-01,Feb 2020,Laikipia,3,25928,518560,0.05
2020-02-01,Feb 2020,Lamu,3,14392,143920,0.1
2020-02-01,Feb 2020,Makueni,3,49383,987653,0.05
2020-02-01,Feb 2020,Mandera,4,130119,867457,0.15
2020-02-01,Feb 2020,Marsabit,4,68968,459785,0.15
2020-02-01,Feb 2020,Meru,3,38244,764885,0.05
2020-02-01,Feb 2020,Narok,2,0,1157873,0.0
2020-02-01,Feb 2020,Nyeri,2,0,198901,0.0
2020-02-01,Feb 2020,Samburu,4,46549,310327,0.15
2020-02-01,Feb 2020,Taita Taveta,3,17034,340671,0.05
2020-02-01,Feb 2020,Tana River,3,47391,315943,0.15
2020-02-01,Feb 2020,Tharaka Nithi,3,6680,133595,0.05
2020-02-01,Feb 2020,Turkana,4,139047,926976,0.15
2020-02-01,Feb 2020,Wajir,4,117189,781260,0.15
2020-02-01,Feb 2020,West Pokot,2,0,621241,0.0
2020-08-01,Aug 2020,Baringo,3,33339,666783,0.05
2020-08-01,Aug 2020,Embu,2,0,272357,0.0
2020-08-01,Aug 2020,Garissa,3,84135,841353,0.1
2020-08-01,Aug 2020,Isiolo,3,26800,268002,0.1
2020-08-01,Aug 2020,Kajiado,2,0,1117840,0.0
2020-08-01,Aug 2020,Kilifi,3,72689,1453787,0.05
2020-08-01,Aug 2020,Kitui,2,0,1136187,0.0
2020-08-01,Aug 2020,Kwale,3,43341,866820,0.05
2020-08-01,Aug 2020,Laikipia,2,0,518560,0.0
2020-08-01,Aug 2020,Lamu,3,7196,143920,0.05
2020-08-01,Aug 2020,Makueni,2,0,987653,0.0
2020-08-01,Aug 2020,Mandera,4,130119,867457,0.15
2020-08-01,Aug 2020,Marsabit,3,68968,459785,0.15
2020-08-01,Aug 2020,Meru,2,0,1026975,0.0
2020-08-01,Aug 2020,Narok,2,0,1157873,0.0
2020-08-01,Aug 2020,Nyeri,2,0,198901,0.0
2020-08-01,Aug 2020,Samburu,3,31033,310327,0.1
2020-08-01,Aug 2020,Taita Taveta,2,0,340671,0.0
2020-08-01,Aug 2020,Tana River,3,31594,315943,0.1
2020-08-01,Aug 2020,Tharaka Nithi,2,0,133076,0.0
2020-08-01,Aug 2020,Turkana,3,92698,926976,0.1
2020-08-01,Aug 2020,Wajir,3,117189,781260,0.15
2020-08-01,Aug 2020,West Pokot,2,0,621241,0.0
2021-02-01,Feb 2021,Baringo,3,66678,666783,0.1
2021-02-01,Feb 2021,Embu,2,0,272357,0.0
2021-02-01,Feb 2021,Garissa,4,126203,841353,0.15
2021-02-01,Feb 2021,Isiolo,4,40200,268002,0.15
2021-02-01,Feb 2021,Kajiado,3,55892,1117840,0.05
2021-02-01,Feb 2021,Kilifi,3,145379,1453787,0.1
2021-02-01,Feb 2021,Kitui,3,56809,1136187,0.05
2021-02-01,Feb 2021,Kwale,3,86682,866820,0.1
2021-02-01,Feb 2021,Laikipia,3,25928,518560,0.05
2021-02-01,Feb 2021,Lamu,3,21588,143920,0.15
2021-02-01,Feb 2021,Makueni,3,49383,987653,0.05
2021-02-01,Feb 2021,Mandera,4,173492,867457,0.2
2021-02-01,Feb 2021,Marsabit,4,68968,459785,0.15
2021-02-01,Feb 2021,Meru,3,51349,1026975,0.05
2021-02-01,Feb 2021,Narok,2,0,1157873,0.0
2021-02-01,Feb 2021,Nyeri,2,0,198901,0.0
2021-02-01,Feb 2021,Samburu,4,46549,310327,0.15
2021-02-01,Feb 2021,Taita Taveta,3,17034,340671,0.05
2021-02-01,Feb 2021,Tana River,4,47391,315943,0.15
2021-02-01,Feb 2021,Tharaka Nithi,3,20039,133595,0.15
2021-02-01,Feb 2021,Turkana,4,185395,926976,0.2
2021-02-01,Feb 2021,Wajir,4,78126,781263,0.1
2021-02-01,Feb 2021,West Pokot,3,62124,621241,0.1
2021-07-01,Jul 2021,Baringo,4,133356,666783,0.2
2021-07-01,Jul 2021,Embu,3,27236,272357,0.1
2021-07-01,Jul 2021,Garissa,4,168271,841353,0.2
2021-07-01,Jul 2021,Isiolo,4,107201,268002,0.4
2021-07-01,Jul 2021,Kajiado,3,55892,1117840,0.05
2021-07-01,Jul 2021,Kilifi,3,145379,1453787,0.1
2021-07-01,Jul 2021,Kitui,3,113619,1136187,0.1
2021-07-01,Jul 2021,Kwale,3,86682,866820,0.1
2021-07-01,Jul 2021,Laikipia,3,25928,518560,0.05
2021-07-01,Jul 2021,Lamu,3,14392,143920,0.1
2021-07-01,Jul 2021,Makueni,3,98765,987653,0.1
2021-07-01,Jul 2021,Mandera,4,173492,867457,0.2
2021-07-01,Jul 2021,Marsabit,4,160925,459785,0.35
2021-07-01,Jul 2021,Meru,3,38244,764885,0.05
2021-07-01,Jul 2021,Narok,3,57894,1157873,0.05
2021-07-01,Jul 2021,Nyeri,3,9945,198901,0.05
2021-07-01,Jul 2021,Samburu,4,46549,310327,0.15
2021-07-01,Jul 2021,Taita Taveta,3,17034,340671,0.05
2021-07-01,Jul 2021,Tana River,4,63188,315943,0.2
2021-07-01,Jul 2021,Tharaka Nithi,3,6680,133595,0.05
2021-07-01,Jul 2021,Turkana,4,370791,926976,0.4
2021-07-01,Jul 2021,Wajir,4,195316,781263,0.25
2021-07-01,Jul 2021,West Pokot,3,31062,621241,0.05
2022-02-01,Feb 2022,Baringo,4,233374,666783,0.35
2022-02-01,Feb 2022,Embu,3,13618,272357,0.05
2022-02-01,Feb 2022,Garissa,4,210339,841353,0.25
2022-02-01,Feb 2022,Isiolo,4,80401,268002,0.3
2022-02-01,Feb 2022,Kajiado,3,111784,1117840,0.1
2022-02-01,Feb 2022,Kilifi,3,218068,1453787,0.15
2022-02-01,Feb 2022,Kitui,4,227237,1136187,0.2
2022-02-01,Feb 2022,Kwale,3,130023,866820,0.15
2022-02-01,Feb 2022,Laikipia,3,51856,518560,0.1
2022-02-01,Feb 2022,Lamu,4,21588,143920,0.15
2022-02-01,Feb 2022,Makueni,3,98765,987653,0.1
2022-02-01,Feb 2022,Mandera,4,303610,867457,0.35
2022-02-01,Feb 2022,Marsabit,4,229893,459785,0.5
2022-02-01,Feb 2022,Meru,4,152977,764885,0.2
2022-02-01,Feb 2022,Narok,3,57894,1157873,0.05
2022-02-01,Feb 2022,Nyeri,3,19890,198901,0.1
2022-02-01,Feb 2022,Samburu,4,108615,310327,0.35
2022-02-01,Feb 2022,Taita Taveta,3,34067,340671,0.1
2022-02-01,Feb 2022,Tana River,4,78986,315943,0.25
2022-02-01,Feb 2022,Tharaka Nithi,3,13360,133595,0.1
2022-02-01,Feb 2022,Turkana,4,370791,926976,0.4
2022-02-01,Feb 2022,Wajir,4,273442,781263,0.35
2022-02-01,Feb 2022,West Pokot,3,31062,621241,0.05
2022-07-01,Jul 2022,Baringo,4,139670,349173,0.4
2022-07-01,Jul 2022,Embu,4,40854,272357,0.15
2022-07-01,Jul 2022,Garissa,4,378609,841353,0.45
2022-07-01,Jul 2022,Isiolo,4,134001,268002,0.5
2022-07-01,Jul 2022,Kajiado,3,55892,1117840,0.05
2022-07-01,Jul 2022,Kilifi,3,72689,1453787,0.05
2022-07-01,Jul 2022,Kitui,4,284046,1136187,0.25
2022-07-01,Jul 2022,Kwale,3,86682,866820,0.1
2022-07-01,Jul 2022,Laikipia,4,129640,518560,0.25
2022-07-01,Jul 2022,Lamu,3,14392,143920,0.1
2022-07-01,Jul 2022,Makueni,4,197531,987653,0.2
2022-07-01,Jul 2022,Mandera,4,390356,867457,0.45
2022-07-01,Jul 2022,Marsabit,4,206904,459785,0.45
2022-07-01,Jul 2022,Meru,3,152977,764885,0.2
2022-07-01,Jul 2022,Narok,3,57894,1157873,0.05
2022-07-01,Jul 2022,Nyeri,3,29835,198901,0.15
2022-07-01,Jul 2022,Samburu,4,139647,310327,0.45
2022-07-01,Jul 2022,Taita Taveta,3,34067,340671,0.1
2022-07-01,Jul 2022,Tana River,4,94783,315943,0.3
2022-07-01,Jul 2022,Tharaka Nithi,3,26719,133595,0.2
2022-07-01,Jul 2022,Turkana,4,463488,926976,0.5
2022-07-01,Jul 2022,Wajir,4,351568,781263,0.45
2022-07-01,Jul 2022,West Pokot,3,31062,621241,0.05
2023-01-01,Jan 2023,Baringo,3,220000,733333,0.3
2023-01-01,Jan 2023,Embu,3,28098,280979,0.1
2023-01-01,Jan 2023,Garissa,4,509867,927031,0.55
2023-01-01,Jan 2023,Isiolo,4,110578,315937,0.35
2023-01-01,Jan 2023,Kajiado,3,190239,1268261,0.15
2023-01-01,Jan 2023,Kilifi,3,78867,1577335,0.05
2023-01-01,Jan 2023,Kitui,4,307448,1229790,0.25
2023-01-01,Jan 2023,Kwale,3,94446,944464,0.1
2023-01-01,Jan 2023,Laikipia,3,84183,561223,0.15
2023-01-01,Jan 2023,Lamu,3,16733,167332,0.1
2023-01-01,Jan 2023,Makueni,3,208460,1042300,0.2
2023-01-01,Jan 2023,Mandera,4,527579,959236,0.55
2023-01-01,Jan 2023,Marsabit,4,283411,515292,0.55
2023-01-01,Jan 2023,Meru,3,158895,794476,0.2
2023-01-01,Jan 2023,Narok,3,128400,1284000,0.1
2023-01-01,Jan 2023,Nyeri,3,30771,205139,0.15
2023-01-01,Jan 2023,Samburu,4,156734,348298,0.45
2023-01-01,Jan 2023,Taita Taveta,3,54599,363990,0.15
2023-01-01,Jan 2023,Tana River,4,158647,352549,0.45
2023-01-01,Jan 2023,Tharaka Nithi,3,17771,177709,0.1
2023-01-01,Jan 2023,Turkana,4,511387,1022773,0.5
2023-01-01,Jan 2023,Wajir,4,478849,870636,0.55
