ipc_date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage,rainfall_date,mean_rainfall_mm,rainfall_3_month_total,rainfall_6_month_total,rainfall_3_month_avg,rainfall_6_month_avg,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
2019-07-01,Jul 2019,Baringo,4,105555,703697,0.15,2019-06-01,72.692665,143.44145393371582,172.7237787246704,47.81381797790527,28.787296454111736,2019-06-01,0.6454976757401899,0.6454976757401899,0.4696211464481885,0.4247998775337273,0.0787392941712179
2019-07-01,Jul 2019,Embu,3,32883,219220,0.15,2019-06-01,8.068131,123.94696521759032,156.38812446594238,41.31565507253011,26.0646874109904,2019-06-01,0.7100590976667112,0.7100590976667112,0.7159389398409904,0.708263198545569,-0.02682276226072
2019-07-01,Jul 2019,Garissa,4,151183,431950,0.35,2019-06-01,5.417682,55.18519735336304,66.81233882904053,18.395065784454346,11.135389804840088,2019-06-01,0.2112459665301522,0.2112459665301522,0.2478412718989111,0.247458166291357,-0.0478635170787991
2019-07-01,Jul 2019,Isiolo,4,54413,155465,0.35,2019-06-01,0.93622947,26.591657876968384,40.062429428100586,8.863885958989462,6.677071571350098,2019-06-01,0.2070897444040229,0.2070897444040229,0.2233390810679429,0.2207670786300914,-0.0420751071479839
2019-07-01,Jul 2019,Kajiado,3,43536,870721,0.05,2019-06-01,6.3915815,62.7168607711792,88.34471988677979,20.90562025705973,14.724119981129965,2019-06-01,0.3794886351001945,0.3794886351001945,0.389526050192345,0.3664310219809892,-0.0302299509546998
2019-07-01,Jul 2019,Kilifi,3,209996,1399975,0.15,2019-06-01,33.56091,202.08238220214844,227.63148260116577,67.36079406738281,37.938580433527626,2019-06-01,0.5747521795405287,0.5747521795405287,0.5133043477392712,0.471153406337327,0.0770924247918375
2019-07-01,Jul 2019,Kitui,3,219537,1097687,0.2,2019-06-01,2.934999,65.22308397293091,89.1921181678772,21.74102799097697,14.865353027979532,2019-06-01,0.3275589317682151,0.3275589317682151,0.342338074418998,0.35622221787402,-0.0599840731320944
2019-07-01,Jul 2019,Kwale,3,123030,820199,0.15,2019-06-01,27.190882,221.5327739715576,249.5573830604553,73.84425799051921,41.59289717674256,2019-06-01,0.4458871628140967,0.4458871628140967,0.4949444513591345,0.4812646398273577,-0.0423451817131492
2019-07-01,Jul 2019,Laikipia,3,50571,505712,0.1,2019-06-01,53.306343,131.48522186279297,167.24987316131592,43.828407287597656,27.87497886021932,2019-06-01,0.5682064838392205,0.5682064838392205,0.42424956210413,0.3832323052017585,0.0629205739859157
2019-07-01,Jul 2019,Lamu,3,25629,128144,0.2,2019-06-01,26.783705,174.98627090454102,188.54597783088684,58.328756968180336,31.42432963848114,2019-06-01,0.7401429696348764,0.7401429696348764,0.6687885706772869,0.6068834038270546,0.0015143226846769
